ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,year_x,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area,conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year_y,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
Jasmund1676,GERMANY,54.5530011,13.8095563,487,JASMUND,1676,"['Christian', 'Denmark', 'Netherlands', 'France', 'Sweden', 'Danish', 'Swedish', 'Swedish', 'Danish']",SCANIA WAR,DENMARK,SWEDEN,,,2,SEA,,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasna Gora1655,POLAND,50.8125957,19.0948171,487,JASNA GORA,1655,"['Sweden', 'Warsaw', 'Cracow', 'Czestochowa', 'Polish', 'Warsaw']",1ST NORTHERN WAR,POLAND,SWEDEN,,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jassy-Kishinev1944,MOLDOVA,47.156116,27.5169306,487,JASSY-KISHINEV,1944,"['Jassy', 'Ukraine', 'Romania', 'Romanians', 'Dniester', 'Jassy', 'Kishinev', 'Russians', 'Romania', 'German']",WORLD WAR II,USSR,"ROMANIA, GERMANY",,,5,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jassy1620,ROMANIA,47.1584549,27.6014418,487,JASSY,1620,"['Polish', 'Moldavia', 'Poland', 'Polish', 'Moldavians', 'Romania', 'Ottoman', 'Poles']",POLISH-TURKISH WARS,"POLAND, MOLDAVIA, COSSACKS","TURKEY, TATARS",,,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P54. POLISH ARMY SIZE WAS 10,000 AND THE TURKISH-TATAR ARMY WAS 'MUCH LARGER', SO IT IS POSSIBLE THE BATTLE SCALE WAS EVEN GREATER",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jativa1707,SPAIN,38.9899566,-0.5235474,488,JATIVA,1707,"['Berwick', 'English']",WAR OF THE SPANISH SUCCESSION,"FRANCE, SPAIN","UNITED KINGDOM, VALENCIAN REBELS",,,,LAND,,BATTLE FOLLOWED BY MASSACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaunpur1858,INDIA,25.7490034,82.6987002,488,JAUNPUR,1858,"['Indian', 'Lucknow', 'Azamgarh', 'Tigra', 'Husain', 'British', 'Azamgarh']",INDIAN MUTINY,UNITED KINGDOM,INDIAN REBELS,,,1,LAND,,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java Sea1941-1942,EAST INDIES,-5.6158077,112.6092333,488,JAVA SEA,1941-1942,"['Japanese', 'Australian', 'British', 'Dutch', 'American']",WORLD WAR II,JAPAN,"AUSTRALIA, NETHERLANDS, UNITED KINGDOM, UNITED STATES",,,2,SEA,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P516-517",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java1811,INDONESIA,-6.1274945,106.9047309,"CLODFELTER, P145",JAVA,1811,,NAPOLEONIC WARS (3RD COALITION),UNITED KINGDOM,NETHERLANDS,,,2,LAND AND SEA,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P144; FOR LOCATION - HTTPS://BLOGS.BL.UK/ASIAN-AND-AFRICAN/2014/08/THE-BRITISH-CAPTURE-OF-JAVA-1811.HTML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawra Alipur1858,INDIA,26.2402875,78.0839204,488,JAWRA ALIPUR,1858,"['Indian', 'Alipur']",INDIAN MUTINY,UNITED KINGDOM,INDIAN REBELS,,,1,LAND,,NO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxartes-329,TAJIKISTAN,43.0947314,61.791974,488,JAXARTES,-329,"['Persia', 'Samarkand']",CONQUESTS OF ALEXANDER THE GREAT,MACEDONIA,SCYTHIANS,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazmin1876,MEXICO,19.0216865,-103.048477,488,JAZMIN,1876,"['Mexico', 'Oaxaca', 'Cerro', 'Puebla', 'Yanhuitlan', 'San Juan']",DIAZ REVOLT IN MEXICO,MEXICAN GOVERNMENT,MEXICAN REBELS,,,1,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jebel Akhdar1958,OMAN,23.1856272,57.3626331,488,JEBEL AKHDAR,1958,"['Taymur', 'British', 'Muscat']",IMAM REVOLT,UNITED KINGDOM,OMANI LEFTIST REBELS,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jebel Akhdar1971,OMAN,23.1856272,57.3626331,488,JEBEL AKHDAR,1971,['British'],DHOFAR WAR,"OMAN, UNITED KINGDOM",OMANI LEFTIST REBELS,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jebel Libni1967,EGYPT,30.7525835,33.8275214,489,JEBEL LIBNI,1967,"['Arab', 'Israelis', 'Egypt']",ARAB-ISRAELI SIX DAY WAR,ISRAEL,EGYPT,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeddah1813,SAUDI ARABIA,21.485811,39.1925048,"SHOWALTER, P480",JEDDAH,1813,,OTTOMAN SAUDI WAR 1811,OTTOMAN EMPIRE,HOUSE OF SAUD,,,3,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeddah1916,SAUDI ARABIA,21.485811,39.1925048,489,JEDDAH,1916,"['Mecca', 'Turkey', 'Jeddah', 'British', 'Turkish', 'Sharifi', 'Arab']",WORLD WAR I,"ARAB REBELS, UNITED KINGDOM",TURKEY,,,,LAND AND SEA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jekabpils1704,LATVIA,56.5005471,25.8433399,"SHOWALTER, P416",JEKABPILS,1704,,2ND GREAT NORTHERN WAR,"SWEDEN, LITHUANIA","RUSSIA, POLAND",,,2,LAND,,NO,"ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelep-La1888,INDIA,27.366685,88.8412452,"CLODFELTER, P225",JELEP-LA,1888,,SIKKIM WAR,UNITED KINGDOM,TIBET,,,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jemappes1792,BELGIUM,50.4479352,3.8990501,489,JEMAPPES,1792,"['French', 'Jemappes', 'Austrian', 'Netherlands', 'Austrians', 'French', 'Dumouriez', 'Brussels', 'Belgium']",FRENCH REVOLUTIONARY WARS (1ST COALITION),FRANCE,AUSTRIA,,,3,LAND,,NO,"THE FIELD AND THE FORGE, LANDERS, P389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jemez1694,UNITED STATES,35.6063981,-106.7555851,"CLODFELTER, P66",JEMEZ,1694,,PUEBLO RISING,SPAIN,PUEBLOS,,,1,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P66",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jemmingen1568,GERMANY,53.2682267,7.3849319,489,JEMMINGEN,1568,"['Spanish', 'Heiligerlee', 'Netherlands', 'Jemgum', 'Emden', 'Dutch', 'Spain', 'Friesland']",NETHERLANDS WAR OF INDEPENDENCE,SPAIN,NETHERLANDS,,,2,LAND,,NO,"CLODFELTER, WARFARE AND ARMED CONFLICT, P18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jena1806,GERMANY,50.927054,11.5892372,489,JENA,1806,"['Prussian', 'Jena']",NAPOLEONIC WARS (4TH COALITION),FRANCE,PRUSSIA,,,3,LAND,,NO,"THE FIELD AND THE FORGE, LANDERS, P391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenar1751,INDONESIA,-7.2932297,111.1235382,489,JENAR,1751,"['Dutch', 'Javanese', 'Dutch', 'Jenar', 'Dutch']",LATER DUTCH WARS IN THE EAST INDIES,REBEL MANGKUBUMI,NETHERLANDS,,,,LAND,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
