ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Theatre,Massacre,all_participants,nuclear_countries_involved,active_nuclear_countries_during_conflict
Ali Masjid1842,PAKISTAN,34.0332698,71.254813,35,ALI MASJID,1842.0,"['British', 'Kabul', 'Jagdalak', 'British', 'British']",['AFGHAN WAR'],AFGHANISTAN,UNITED KINGDOM,LAND,NO,"[""['British'"", ""'Kabul'"", ""'Jagdalak'"", ""'British'"", ""'British']"", 'AFGHANISTAN', 'UNITED KINGDOM']",united kingdom,None
Ali Masjid1878,PAKISTAN,34.0332698,71.254813,35,ALI MASJID,1878.0,"['Britain', 'Russian', 'Afghanistan', 'Kabul']",['AFGHAN WAR'],UNITED KINGDOM,AFGHANISTAN,LAND,NO,"[""['Britain'"", ""'Russian'"", ""'Afghanistan'"", ""'Kabul']"", 'UNITED KINGDOM', 'AFGHANISTAN']",united kingdom,None
Alicante1706,SPAIN,38.3459963,-0.4906855,34,ALICANTE,1706.0,"['British', 'Spanish', 'Cartagena', 'Spanish', 'Alicante']",['Y WAR OF THE                       SPANISH SUCCESSION'],UNITED KINGDOM,SPAIN,LAND,NO,"[""['British'"", ""'Spanish'"", ""'Cartagena'"", ""'Spanish'"", ""'Alicante']"", 'UNITED KINGDOM', 'SPAIN']",united kingdom,None
Alicante1708,SPAIN,38.3459963,-0.4906855,34,ALICANTE,1708.0,"['Alicante', 'Spanish', 'Alicante', 'French', 'Huguenot']",WAR OF THE SPANISH SUCCESSION,UNITED KINGDOM,FRANCE,LAND,NO,"[""['Alicante'"", ""'Spanish'"", ""'Alicante'"", ""'French'"", ""'Huguenot']"", 'UNITED KINGDOM', 'FRANCE']","france, united kingdom",None
Alicante1812,SPAIN,38.3459963,-0.4906855,34,ALICANTE,1812.0,"['Napoleonic', 'French', 'Alicante']",NAPOLEONIC WARS,SPAIN,FRANCE,LAND,NO,"[""['Napoleonic'"", ""'French'"", ""'Alicante']"", 'SPAIN', 'FRANCE']",france,None
Aligarh1803,INDIA,27.8973944,78.0880129,34,ALIGARH,1803.0,"['British', 'Hindustan', 'British', 'Delhi', 'French', 'Delhi']",2ND BRITISH MARATHA WAR,UNITED KINGDOM,MARATHAS,LAND,NO,"[""['British'"", ""'Hindustan'"", ""'British'"", ""'Delhi'"", ""'French'"", ""'Delhi']"", 'UNITED KINGDOM', 'MARATHAS']",united kingdom,None
Aligarh1857,INDIA,27.8973944,78.0880129,34,ALIGARH,1857.0,"['Indian', 'Delhi', 'Bulandshahr', 'British']",INDIAN MUTINY,UNITED KINGDOM,INDIAN MUTINEERS,LAND,NO,"[""['Indian'"", ""'Delhi'"", ""'Bulandshahr'"", ""'British']"", 'UNITED KINGDOM', 'INDIAN MUTINEERS']",united kingdom,None
Alihuata1933,PARAGUAY,-16.5223722,-68.1939538,34,ALIHUATA,1933.0,"['Bolivian', 'Bolivians']",CHACO WAR,PARAGUAY,BOLIVIA,LAND,NO,"[""['Bolivian'"", ""'Bolivians']"", 'PARAGUAY', 'BOLIVIA']",None,None
Aliwal1846,INDIA,30.9449179,75.610665,35,ALIWAL,1846.0,"['British', 'Sutlej', 'British', 'Aliwal', 'Sutlej', 'Anglo']",1ST BRITISH-SIKH WAR,UNITED KINGDOM,PUNJAB,LAND,NO,"[""['British'"", ""'Sutlej'"", ""'British'"", ""'Aliwal'"", ""'Sutlej'"", ""'Anglo']"", 'UNITED KINGDOM', 'PUNJAB']",united kingdom,None
Aljubarrota1385,PORTUGAL,39.5661854,-8.9295841,35,ALJUBARROTA,1385.0,"['Castilian', 'Portugal', 'English', 'Aljubarotta']",PORTUGUESE-CASTILLIAN WARS,"PORTUGAL, ENGLAND",CASTILLE,LAND,NO,"[""['Castilian'"", ""'Portugal'"", ""'English'"", ""'Aljubarotta']"", 'PORTUGAL', 'ENGLAND', 'CASTILLE']",united kingdom,None
Alkalawa1806,NIGERIA,9.2659561,12.4566878,35,ALKALAWA,1806.0,"['Uthman', 'the Kingdom of Gobir']",RISE OF SOKOTO,FULANI,KINGDOM OF GOBIR,LAND,NO,"[""['Uthman'"", ""'the Kingdom of Gobir']"", 'FULANI', 'KINGDOM OF GOBIR']",None,None
Alkmaar1573,NETHERLANDS,52.6323813,4.7533754,35,ALKMAAR,1573.0,"['Spanish', 'Netherlands', 'Toledo', 'Dutch', 'Spanish']",['NETHERLANDS WAR'],NETHERLANDS,SPAIN,LAND,NO,"[""['Spanish'"", ""'Netherlands'"", ""'Toledo'"", ""'Dutch'"", ""'Spanish']"", 'NETHERLANDS', 'SPAIN']",None,None
Alkmaar1799,NETHERLANDS,52.6323813,4.7533754,36,ALKMAAR,1799.0,"['French', 'British', 'Russians', 'North Hol-', 'French']",FRENCH REVOLUTIONARY WARS (2ND COALITION),"UNITED KINGDOM, RUSSIA",FRANCE,LAND,NO,"[""['French'"", ""'British'"", ""'Russians'"", ""'North Hol-'"", ""'French']"", 'UNITED KINGDOM', 'RUSSIA', 'FRANCE']","france, russia, united kingdom",None
Allatoona1864,UNITED STATES,34.1331022,-84.7252938,36,ALLATOONA,1864.0,"['Atlanta', 'Georgia', 'Allatoona', 'French']",AMERICAN CIVIL WAR,CONFEDERATE STATES OF AMERICA,UNITED STATES OF AMERICA,LAND,NO,"[""['Atlanta'"", ""'Georgia'"", ""'Allatoona'"", ""'French']"", 'CONFEDERATE STATES OF AMERICA', 'UNITED STATES OF AMERICA']",None,None
Allemans Nek1900,SOUTH AFRICA,-28.1090514,27.5692231,36,ALLEMANS NEK,1900.0,[],BOER-ZULU WAR,UNITED KINGDOM,TRANSVAAL,LAND,NO,"['[]', 'UNITED KINGDOM', 'TRANSVAAL']",united kingdom,None
Allia-390,ITALY,41.9589748,12.5660623,36,ALLIA,-390.0,"['Rome', 'Fidenae', 'Rome']",GALLIC INVASION OF ITALY,GAULS,ROME,LAND,NO,"[""['Rome'"", ""'Fidenae'"", ""'Rome']"", 'GAULS', 'ROME']",None,None
Alma1854,UKRAINE,44.8264986,33.9378346,36,ALMA,1854.0,"['Anglo', 'British']",['CRIMEAN WAR'],"UNITED KINGDOM, FRANCE",RUSSIA,LAND,NO,"[""['Anglo'"", ""'British']"", 'UNITED KINGDOM', 'FRANCE', 'RUSSIA']","russia, france, united kingdom",None
Almaden1810,SPAIN,38.7744644,-4.8326215,36,ALMADEN,1810.0,"['Almaden', 'Madrid', 'Andalusia', 'Almaden', 'Spanish', 'Spanish']",NAPOLEONIC WARS,FRANCE,SPAIN,LAND,NO,"[""['Almaden'"", ""'Madrid'"", ""'Andalusia'"", ""'Almaden'"", ""'Spanish'"", ""'Spanish']"", 'FRANCE', 'SPAIN']",france,None
